Company Name,Type,Ex-Date,Record Date,Date Paid/Payable,Particulars
"OVERSEAS UNION SECURITIES LTD","DIVIDEND","03 May 2004","05 May 2004","18 May 2004","3% TAX EXEMPT"
"ROTARY ENGINEERING LIMITED","DIVIDEND","03 May 2004","05 May 2004","19 May 2004","SGD 0.008 LESS TAX"
"SEMBCORP MARINE LTD","DIVIDEND","03 May 2004","05 May 2004","18 May 2004","SGD 0.01 LESS TAX"
"SEMBCORP MARINE LTD","DIVIDEND","03 May 2004","05 May 2004","18 May 2004","SGD 0.025 LESS TAX"
"SING LUN HOLDINGS LIMITED","DIVIDEND","03 May 2004","05 May 2004","26 May 2004","SGD 0.004 LESS TAX"
"SING LUN HOLDINGS LIMITED","DIVIDEND","03 May 2004","05 May 2004","26 May 2004","SGD 0.005 ONE-TIER TAX"
"SUPERBOWL HOLDINGS LIMITED","DIVIDEND","03 May 2004","05 May 2004","14 May 2004","SGD 0.0075 LESS TAX"
"UNISTEEL TECHNOLOGY LTD","DIVIDEND","03 May 2004","05 May 2004","14 May 2004","SGD 0.01 LESS TAX"
"UNISTEEL TECHNOLOGY LTD","DIVIDEND","03 May 2004","05 May 2004","14 May 2004","SGD 0.035 LESS TAX"
"UNITED INTL SECURITIES LTD","DIVIDEND","03 May 2004","05 May 2004","18 May 2004","3.5% LESS TAX"
"UNITED INTL SECURITIES LTD","DIVIDEND","03 May 2004","05 May 2004","18 May 2004","3% TAX EXEMPT"
"WESTECH ELECTRONICS LIMITED","DIVIDEND","03 May 2004","05 May 2004","17 May 2004","SGD 0.006 LESS TAX"
"WESTECH ELECTRONICS LIMITED","DIVIDEND","03 May 2004","05 May 2004","17 May 2004","SGD 0.005 LESS TAX"
"AUSTRALAND PROPERTYGROUP","OFFER","30 Apr 2004","04 May 2004","","A$1.63 OFFER OF 1 FOR 7 @ $1.63"
"LEE KIM TAH HLDGS LIMITED","DIVIDEND","30 Apr 2004","04 May 2004","18 May 2004","SGD 0.008 LESS TAX"
"LEE KIM TAH HLDGS LIMITED","DIVIDEND","30 Apr 2004","04 May 2004","18 May 2004","SGD 0.002 LESS TAX"
"MEIBAN GROUP LTD","DIVIDEND","30 Apr 2004","04 May 2004","13 May 2004","SGD 0.015 LESS TAX"
"PAN PACIFIC HOTELS GRP LIMITED","DIVIDEND","30 Apr 2004","04 May 2004","18 May 2004","SGD 0.02 LESS TAX"
"UNITED ENGINEERS 7.5% CUM PREF","DIVIDEND","30 Apr 2004","04 May 2004","18 May 2004","7.5% LESS TAX"
"UNITED ENGINEERS LTD ORD","DIVIDEND","30 Apr 2004","04 May 2004","18 May 2004","SGD 0.05 LESS TAX"
"UNITED ENGINEERS LTD ORD","DIVIDEND","30 Apr 2004","04 May 2004","18 May 2004","SGD 0.05 LESS TAX"
"UOL GROUP LIMITED","DIVIDEND","30 Apr 2004","04 May 2004","18 May 2004","SGD 0.075 LESS TAX"
"ALLGREEN PROPERTIES LTD","DIVIDEND","29 Apr 2004","03 May 2004","19 May 2004","SGD 0.035 LESS TAX"
"BEAUTY CHINA HOLDINGS LIMITED","DIVIDEND","29 Apr 2004","03 May 2004","14 May 2004","SGD 0.006"
"ECS HOLDINGS LIMITED","DIVIDEND","29 Apr 2004","03 May 2004","12 May 2004","SGD 0.004 LESS TAX"
"GREAT EASTERN HLDGS LTD","DIVIDEND","29 Apr 2004","03 May 2004","18 May 2004","SGD 0.18 LESS TAX"
"HONG LEONG FINANCE LIMITED","DIVIDEND","29 Apr 2004","03 May 2004","18 May 2004","SGD 0.07 LESS TAX"
"IFS CAPITAL LIMITED","DIVIDEND","29 Apr 2004","03 May 2004","13 May 2004","SGD 0.0125 LESS TAX"
"KINGSMEN CREATIVES LTD","DIVIDEND","29 Apr 2004","03 May 2004","12 May 2004","SGD 0.0075 ONE-TIER TAX"
"LANKOM ELECTRONICS LIMITED","DIVIDEND","29 Apr 2004","03 May 2004","14 May 2004","SGD 0.0015"
"LTA $500M4.17%N160510","INTEREST","29 Apr 2004","03 May 2004","10 May 2004","101103-090504 4.17%"
"MEDTECS INTERNATIONAL CORP LTD","DIVIDEND","29 Apr 2004","03 May 2004","21 May 2004","USD 0.003"
"MEDTECS INTERNATIONAL CORP LTD","BONUS","29 Apr 2004","03 May 2004","","OFFER OF 1 FOR 5"
"PROGEN HOLDINGS LTD","DIVIDEND","29 Apr 2004","03 May 2004","13 May 2004","SGD 0.003 ONE-TIER TAX"
"SINGAPORE COMPUTER SYSTEMS LTD","DIVIDEND","29 Apr 2004","03 May 2004","17 May 2004","12% LESS TAX"
"ALLIED TECHNOLOGIES LIMITED","DIVIDEND","28 Apr 2004","30 Apr 2004","17 May 2004","SGD 0.0049 NET OF TAX"
"CREATIVE MASTER BERMUDA LTD","DIVIDEND","28 Apr 2004","30 Apr 2004","12 May 2004","SGD 0.0075"
"CSE GLOBAL LTD","DIVIDEND","28 Apr 2004","30 Apr 2004","13 May 2004","SGD 0.01 LESS TAX"
"CSE GLOBAL LTD","DIVIDEND","28 Apr 2004","30 Apr 2004","13 May 2004","SGD 0.01 LESS TAX"
"KEPPEL TELE & TRAN","DIVIDEND","28 Apr 2004","30 Apr 2004","12 May 2004","SGD 0.03 ONE-TIER TAX"
"RAFFLES MEDICAL GROUP LTD","DIVIDEND","28 Apr 2004","30 Apr 2004","12 May 2004","SGD 0.015 LESS TAX"
"RAFFLES MEDICAL GROUP LTD","DIVIDEND","28 Apr 2004","30 Apr 2004","12 May 2004","SGD 0.01 LESS TAX"
"SINWA LIMITED","DIVIDEND","28 Apr 2004","30 Apr 2004","21 May 2004","SGD 0.01 ONE-TIER TAX"
"ASJ HOLDINGS LTD","DIVIDEND","27 Apr 2004","29 Apr 2004","11 May 2004","SGD 0.05 LESS TAX"
"ASJ HOLDINGS LTD","BONUS","27 Apr 2004","29 Apr 2004","","OFFER OF 1 FOR 5"
"SP CHEMICALS LTD","DIVIDEND","27 Apr 2004","29 Apr 2004","10 May 2004","SGD 0.0005 LESS TAX"
"SP CHEMICALS LTD","DIVIDEND","27 Apr 2004","29 Apr 2004","10 May 2004","SGD 0.0162 ONE-TIER TAX"
"UNITED FOOD HOLDINGS LIMITED","DIVIDEND","27 Apr 2004","29 Apr 2004","14 May 2004","CNY 0.069"
"AURIC PACIFIC GROUP LIMITED","DIVIDEND","26 Apr 2004","28 Apr 2004","11 May 2004","SGD 0.05 ONE-TIER TAX"
"CHT (HOLDINGS) LTD.","DIVIDEND","26 Apr 2004","28 Apr 2004","18 May 2004","CNY 0.08"
"COSCO CORPORATION (S) LTD","DIVIDEND","26 Apr 2004","28 Apr 2004","11 May 2004","SGD 0.01 LESS TAX"
"COSCO CORPORATION (S) LTD","BONUS","26 Apr 2004","28 Apr 2004","","OFFER OF 1 FOR 5"
"HYSAN DEVELOPMENT CO. LTD","DIVIDEND","26 Apr 2004","06 May 2004","11 Jun 2004","SCRIP DIV ALT HKD 0.265"
"ISETAN (SINGAPORE) LTD","DIVIDEND","26 Apr 2004","28 Apr 2004","12 May 2004","SGD 0.075 LESS TAX"
"NERA ELECTRONICS LTD","DIVIDEND","26 Apr 2004","28 Apr 2004","13 May 2004","SGD 0.005 LESS TAX"
"NERATELECOMMUNICATIONS LTD","DIVIDEND","26 Apr 2004","28 Apr 2004","13 May 2004","SGD 0.00875 LESS TAX"
"NERATELECOMMUNICATIONS LTD","DIVIDEND","26 Apr 2004","28 Apr 2004","13 May 2004","SGD 0.02 LESS TAX"
"SUNNINGDALE PRECISION IND LTD","DIVIDEND","26 Apr 2004","28 Apr 2004","13 May 2004","SGD 0.006 LESS TAX"
"YHI INTERNATIONAL LIMITED","DIVIDEND","26 Apr 2004","28 Apr 2004","13 May 2004","SGD 0.006 ONE-TIER TAX"
"LUNG KEE (BERMUDA) HLDGS LTD","DIVIDEND","23 Apr 2004","27 Apr 2004","13 May 2004","HKD 0.1"
"LUNG KEE (BERMUDA) HLDGS LTD","BONUS","23 Apr 2004","27 Apr 2004","","OFFER OF 1 FOR 4"
"NEPTUNE ORIENT LINES LIMITED","DIVIDEND","23 Apr 2004","27 Apr 2004","14 May 2004","SGD 0.0385 LESS TAX"
"EASTERN ASIA TECHNOLOGY LTD","BONUS","22 Apr 2004","26 Apr 2004","","OFFER OF 1 FOR 10"
"G. K. GOH HOLDINGS LIMITED","DIVIDEND","22 Apr 2004","26 Apr 2004","12 May 2004","SGD 0.04 LESS TAX"
"OVERSEA-CHINESE BANKING CORP","DIVIDEND","22 Apr 2004","26 Apr 2004","12 May 2004","SGD 0.12 LESS TAX"
"ROLY INTERNATIONAL HLDGS LTD","BONUS","22 Apr 2004","26 Apr 2004","","1 WT FOR 4 SH OFFER OF 1 FOR 4"
"SING INVESTMENTS & FINANCE LTD","DIVIDEND","22 Apr 2004","26 Apr 2004","07 May 2004","SGD 0.1 LESS TAX"
"SNP CORPORATION LTD","DIVIDEND","22 Apr 2004","26 Apr 2004","13 May 2004","SGD 0.04 LESS TAX"
"TAN CHONG INT'L LTD","DIVIDEND","22 Apr 2004","26 Apr 2004","10 Jun 2004","HKD 0.035"
"THE ASCOTT GROUP LIMITED","DIVIDEND","22 Apr 2004","26 Apr 2004","07 May 2004","6% LESS TAX"
"VIBROPOWER CORPORATION LIMITED","DIVIDEND","22 Apr 2004","26 Apr 2004","07 May 2004","SGD 0.005 NET OF TAX"
"VIBROPOWER CORPORATION LIMITED","DIVIDEND","22 Apr 2004","26 Apr 2004","07 May 2004","SGD 0.005 NET OF TAX"
"HERSING CORPORATION LTD","DIVIDEND","21 Apr 2004","23 Apr 2004","05 May 2004","20% LESS TAX"
"ICONIC HOLDINGS LIMITED","BONUS","21 Apr 2004","23 Apr 2004","","1 WT FOR 4 SH OFFER OF 1 FOR 4"
"JACKS INTERNATIONAL LIMITED","DIVIDEND","21 Apr 2004","23 Apr 2004","04 May 2004","FIRST INTERIM 2.6% TAX EXEMPT"
"JACKS INTERNATIONAL LIMITED","DIVIDEND","21 Apr 2004","23 Apr 2004","04 May 2004","FIRST INTERIM 0.4% LESS TAX"
"JACKS INTERNATIONAL LIMITED","DIVIDEND","21 Apr 2004","23 Apr 2004","04 May 2004","FIRST INTERIM 1.2% TAX EXEMPT"
"JACKS INTERNATIONAL LIMITED","DIVIDEND","21 Apr 2004","23 Apr 2004","04 May 2004","FIRST INTERIM 0.3% LESS TAX"
"ROBINSON & CO. LTD","DIVIDEND","21 Apr 2004","23 Apr 2004","12 May 2004","SGD 0.18 LESS TAX"
"ROBINSON & CO. LTD","DIVIDEND","21 Apr 2004","23 Apr 2004","12 May 2004","SGD 2 LESS TAX"
"MEGACHEM LIMITED","DIVIDEND","20 Apr 2004","22 Apr 2004","12 May 2004","SGD 0.007 LESS TAX"
"METECH INTERNATIONAL LIMITED","DIVIDEND","20 Apr 2004","22 Apr 2004","07 May 2004","SGD 0.012 LESS TAX"
"SINGAPORE PRESS HLDGS LTD","DIVIDEND","20 Apr 2004","22 Apr 2004","05 May 2004","SGD 0.2 LESS TAX"
"MDR LIMITED","BONUS","16 Apr 2004","20 Apr 2004","","OFFER OF 1 FOR 2"
"SPDR DJIA ETF TRUST","DIVIDEND","16 Apr 2004","20 Apr 2004","17 May 2004","USD 0.05924 LESS TAX"
"VGO CORPORATION LIMITED","DIVIDEND","16 Apr 2004","20 Apr 2004","03 May 2004","SGD 0.001 LESS TAX"
"CSC S$24846734 6.5%LNSTK050427","INTEREST","15 Apr 2004","19 Apr 2004","28 Apr 2004","291003-280404 6.5%"
"JTC S$200M4.826%N121024","INTEREST","15 Apr 2004","19 Apr 2004","26 Apr 2004","241003 - 230404 4.826%"
"STRAITS TRADING CO. LTD","DIVIDEND","15 Apr 2004","19 Apr 2004","05 May 2004","SGD 0.04 LESS TAX"
"CAPITALAND LIMITED","DIVIDEND","14 Apr 2004","16 Apr 2004","30 Apr 2004","SGD 0.04 LESS TAX"
"TSH CORPORATION LIMITED","DIVIDEND","13 Apr 2004","15 Apr 2004","30 Apr 2004","SGD 0.003 LESS TAX"
"TSH CORPORATION LIMITED","BONUS","13 Apr 2004","15 Apr 2004","","OFFER OF 1 FOR 5"
"PAN-UNITED CORPORATION LTD","ENTITL.","12 Apr 2004","14 Apr 2004","","1PUM FOR 2PUC OFFER OF 1 FOR 2"
"SINGAPORE FOOD INDUSTRIES LTD","DIVIDEND","12 Apr 2004","14 Apr 2004","03 May 2004","SGD 0.03 LESS TAX"
"SINGAPORE FOOD INDUSTRIES LTD","DIVIDEND","12 Apr 2004","14 Apr 2004","03 May 2004","SGD 0.02 LESS TAX"
"FLEXTECH S$14969001LNSTK071023","INTEREST","07 Apr 2004","12 Apr 2004","23 Apr 2004","241003 - 230404 4.5% LESS TAX"
"","DIVIDEND","06 Apr 2004","08 Apr 2004","14 May 2004","HKD 0.03"
"PARKWAY HLDGS LTD","DIVIDEND","05 Apr 2004","07 Apr 2004","20 Apr 2004","SGD 0.04 LESS TAX"
"SILVERLAKE AXIS LTD","DIVIDEND","05 Apr 2004","07 Apr 2004","23 Apr 2004","SGD 0.005 ONE-TIER TAX"
"SINGAPORE TECH ENGINEERING LTD","DIVIDEND","05 Apr 2004","07 Apr 2004","23 Apr 2004","35% ONE-TIER TAX"
"SINGAPORE TECH ENGINEERING LTD","DIVIDEND","05 Apr 2004","07 Apr 2004","23 Apr 2004","78% ONE-TIER TAX"
"TRANSCORP HOLDINGS LIMITED","DIVIDEND","05 Apr 2004","07 Apr 2004","20 Apr 2004","SGD 0.002 LESS TAX"
"TRANSCORP HOLDINGS LIMITED","DIVIDEND","05 Apr 2004","07 Apr 2004","30 Apr 2004","SGD 0.003 ONE-TIER TAX"
"FU YU CORPORATION LTD","DIVIDEND","02 Apr 2004","06 Apr 2004","20 Apr 2004","SGD 0.01 LESS TAX"
"M1 LIMITED","DIVIDEND","31 Mar 2004","02 Apr 2004","21 Apr 2004","SGD 0.055 ONE-TIER TAX"
"CEI CONTRACT MANUFACTURING LTD","DIVIDEND","30 Mar 2004","01 Apr 2004","15 Apr 2004","SGD 0.00425 LESS TAX"
"CEI CONTRACT MANUFACTURING LTD","DIVIDEND","30 Mar 2004","01 Apr 2004","15 Apr 2004","SGD 0.00425 LESS TAX"
"AUSTRALAND PROPERTYGROUP","DIVIDEND","29 Mar 2004","31 Mar 2004","03 May 2004","DRP AUD 0.014"
"AUSTRALAND PROPERTYGROUP","DIVIDEND","29 Mar 2004","31 Mar 2004","03 May 2004","DRP AUD 0.026"
"ISHARES S&P500 IVV 10","DIVIDEND","29 Mar 2004","31 Mar 2004","02 Apr 2004","USD 0.389086 LESS TAX"
"OSIM INTERNATIONAL LTD","DIVIDEND","29 Mar 2004","31 Mar 2004","16 Apr 2004","SGD 0.008 LESS TAX"
"OSIM INTERNATIONAL LTD","BONUS","29 Mar 2004","31 Mar 2004","","OFFER OF 1 FOR 5"
"MURATA MFG CO. LTD 100","DIVIDEND","26 Mar 2004","31 Mar 2004","30 Jun 2004","JPY 25 LESS TAX"
"CHUAN HUP HOLDINGS LIMITED","DIVIDEND","23 Mar 2004","25 Mar 2004","12 Apr 2004","SGD 0.008 TAX EXEMPT"
"SPDR DJIA ETF TRUST","DIVIDEND","19 Mar 2004","23 Mar 2004","12 Apr 2004","USD 0.1176 LESS TAX"
"SPDR S&P 500 ETF TRUST","DIVIDEND","19 Mar 2004","23 Mar 2004","30 Apr 2004","USD 0.39476 LESS TAX"
"NM HOLDINGS LTD","ENTITL.","18 Mar 2004","22 Mar 2004","14 Apr 2004","CASH $0.13/SH"
"QIAN HU CORPORATION LIMITED","DIVIDEND","18 Mar 2004","22 Mar 2004","02 Apr 2004","SGD 0.006 LESS TAX"
"A-SONIC AEROSPACE LIMITED","BONUS","17 Mar 2004","19 Mar 2004","","OFFER OF 1 FOR 5"
"MFS TECHNOLOGY LTD","DIVIDEND","16 Mar 2004","18 Mar 2004","29 Mar 2004","SGD 0.0025 ONE-TIER TAX"
"NOEL GIFTS INTERNATIONAL LTD","DIVIDEND","16 Mar 2004","18 Mar 2004","31 Mar 2004","SGD 0.005 LESS TAX"
"GSH CORPORATION LIMITED","BONUS","15 Mar 2004","17 Mar 2004","","OFFER OF 1 FOR 5"
"AMTEK ENGINEERING LTD","DIVIDEND","11 Mar 2004","15 Mar 2004","24 Mar 2004","SGD 0.02 LESS TAX"
"HDB S$300M5.07%N090921","INTEREST","11 Mar 2004","15 Mar 2004","22 Mar 2004","210903-200304 5.07%"
"SPINDEX INDUSTRIES LIMITED","DIVIDEND","11 Mar 2004","15 Mar 2004","25 Mar 2004","SGD 0.005 LESS TAX"
"DAIRY FARM INT'L HOLDINGS LTD","DIVIDEND","10 Mar 2004","12 Mar 2004","12 May 2004","USD 0.032"
"HONGKONG LAND HOLDINGS LIMITED","DIVIDEND","10 Mar 2004","12 Mar 2004","12 May 2004","USD 0.04"
"JARDINE MATHESON HLDGS LTD","DIVIDEND","10 Mar 2004","12 Mar 2004","12 May 2004","SCRIP ALT USD 0.252"
"JARDINE STRATEGIC HLDGS LTD","DIVIDEND","10 Mar 2004","12 Mar 2004","12 May 2004","USD 0.099"
"RAFFLES EDUCATION CORP LTD","DIVIDEND","10 Mar 2004","12 Mar 2004","25 Mar 2004","SGD 0.01 ONE-TIER TAX"
"ENG KONG HOLDINGS LIMITED","DIVIDEND","09 Mar 2004","11 Mar 2004","26 Mar 2004","SGD 0.006 LESS TAX"
"HDB S$500M3.215%N060918","INTEREST","09 Mar 2004","11 Mar 2004","18 Mar 2004","180903 - 170304 3.215%"
"NAM LEE PRESSED METAL INDS LTD","DIVIDEND","08 Mar 2004","10 Mar 2004","19 Mar 2004","10% LESS TAX"
"JAYA HOLDINGS LTD","DIVIDEND","05 Mar 2004","09 Mar 2004","19 Mar 2004","SGD 0.015 TAX EXEMPT"
"PERTAMA HOLDINGS LIMITED","DIVIDEND","05 Mar 2004","09 Mar 2004","19 Mar 2004","SGD 0.003 LESS TAX"
"WING TAI HLDGS LTD","RIGHTS","05 Mar 2004","09 Mar 2004","","OFFER OF 1 FOR 6 @ SGD 0.59"
"ASL MARINE HOLDINGS LTD","RIGHTS","04 Mar 2004","08 Mar 2004","","OFFER OF 1 FOR 4"
"GES INTERNATIONAL LIMITED","DIVIDEND","04 Mar 2004","08 Mar 2004","25 Mar 2004","SGD 0.01 TAX EXEMPT"
"HDB S$500M4.198%N050913","INTEREST","04 Mar 2004","08 Mar 2004","15 Mar 2004","130903-120304 4.198%"
"WBL CORPORATION LIMITED","DIVIDEND","04 Mar 2004","08 Mar 2004","22 Mar 2004","SGD 0.04 LESS TAX"
"BRILLIANT MANUFACTURING LTD","DIVIDEND","03 Mar 2004","05 Mar 2004","18 Mar 2004","SGD 0.024 LESS TAX"
"HG METAL MANUFACTURING LTD","DIVIDEND","03 Mar 2004","05 Mar 2004","17 Mar 2004","SGD 0.01 NET OF TAX"
"HG METAL MANUFACTURING LTD","BONUS","03 Mar 2004","05 Mar 2004","","OFFER OF 1 FOR 4"
"SNP CORPORATION LTD","ENTITL.","02 Mar 2004","04 Mar 2004","","90HM/1000 SH"
"MMI HOLDINGS LTD","DIVIDEND","01 Mar 2004","03 Mar 2004","16 Mar 2004","SGD 0.0026 LESS TAX"
"WEARNES INTERNATIONAL (1994)","DIVIDEND","01 Mar 2004","03 Mar 2004","19 Mar 2004","8% LESS TAX"
"CEDAR STRATEGIC HOLDINGS LTD","RIGHTS","27 Feb 2004","02 Mar 2004","","OFFER OF 25 FOR 1 @ SGD 0.01"
"ELEC & ELTEK INT CO LTD","DIVIDEND","27 Feb 2004","02 Mar 2004","12 Mar 2004","SGD 0.12 ONE-TIER TAX"
"SEN YUE HOLDINGS LIMITED","DIVIDEND","27 Feb 2004","02 Mar 2004","12 Mar 2004","SGD 0.005 ONE-TIER TAX"
"FOOD JUNCTION HOLDINGS LIMITED","DIVIDEND","25 Feb 2004","27 Feb 2004","10 Mar 2004","25% LESS TAX"
"BRITISH & MALAYAN TRUSTEES LTD","DIVIDEND","24 Feb 2004","26 Feb 2004","09 Mar 2004","SGD 0.28 LESS TAX"
"RSH LIMITED","DIVIDEND","24 Feb 2004","26 Feb 2004","09 Mar 2004","SGD 0.016 NET OF TAX"
"BOARDROOM LIMITED","DIVIDEND","23 Feb 2004","25 Feb 2004","10 Mar 2004","SGD 0.01 LESS TAX"
"PAVILLON HOLDINGS LTD.","DIVIDEND","20 Feb 2004","24 Feb 2004","05 Mar 2004","SGD 0.005 LESS TAX"
"PAVILLON HOLDINGS LTD.","DIVIDEND","20 Feb 2004","24 Feb 2004","05 Mar 2004","SGD 0.015 LESS TAX"
"SPDR DJIA ETF TRUST","DIVIDEND","20 Feb 2004","24 Feb 2004","15 Mar 2004","USD 0.26826 LESS TAX"
"ENPORIS GREENZ LIMITED","ENTITL.","17 Feb 2004","19 Feb 2004","","STOCK SPLIT OFFER OF 2 FOR 1"
"SEKSUN CORPORATION LTD W041216","ENTITL.","17 Feb 2004","19 Feb 2004","","2WTSREPLACE1WT"
"YAMAICHI DAE FUND LTD","DIVIDEND","17 Feb 2004","19 Feb 2004","01 Mar 2004","USD 0.65 TAX EXEMPT"
"AUSSINO GROUP LTD","DIVIDEND","16 Feb 2004","18 Feb 2004","08 Mar 2004","SGD 0.005 ONE-TIER TAX"
"JURONG TECH IND CORP LTD","DIVIDEND","16 Feb 2004","18 Feb 2004","03 Mar 2004","SGD 0.0075 ONE-TIER TAX"
"QIAN HU CORPORATION LIMITED","BONUS","16 Feb 2004","18 Feb 2004","","OFFER OF 1 FOR 5"
"SUNWAY INTL HLDGS LTD","DIVIDEND","13 Feb 2004","17 Feb 2004","01 Apr 2004","HKD 0.01"
"ASCENDAS REAL ESTATE INV TRUST","DIVIDEND","12 Feb 2004","16 Feb 2004","26 Apr 2004","011003-311203 SGD 0.0212 LESS TAX"
"ASCENDAS REAL ESTATE INV TRUST","DIVIDEND","12 Feb 2004","16 Feb 2004","26 Apr 2004","010104-030304 SGD 0.0135 LESS TAX"
"ASCENDAS REAL ESTATE INV TRUST","OFFER","12 Feb 2004","16 Feb 2004","","NONRENOUNCEABLE OFFER OF 3 FOR 20 @ SGD 1.16"
"SSH CORPORATION LTD.","DIVIDEND","12 Feb 2004","16 Feb 2004","26 Feb 2004","SGD 0.00065 LESS TAX"
"FINLAYSON S$13.32M PENS 040219","ENTITL.","09 Feb 2004","13 Feb 2004","19 Feb 2004","REDEMPTION 113.23%"
"FRASER AND NEAVE LIMITED","DIVIDEND","05 Feb 2004","09 Feb 2004","19 Feb 2004","SGD 0.3 NET OF TAX"
"FORTUNE REAL ESTATE INV TRUST","DIVIDEND","04 Feb 2004","06 Feb 2004","27 Feb 2004","130803 - 311203 HKD 0.1243 TAX EXEMPT"
"HDB S$500M3.52%N080213","INTEREST","04 Feb 2004","06 Feb 2004","13 Feb 2004","130803-120204 3.52%"
"ASIA PACIFIC BREWERIES LTD","DIVIDEND","03 Feb 2004","05 Feb 2004","17 Feb 2004","SGD 0.14 NET OF TAX"
"HDB S$300M3.875%N040211","ENTITL.","03 Feb 2004","05 Feb 2004","11 Feb 2004","REDEMPTION SGD 1"
"HDB S$300M3.875%N040211","INTEREST","30 Jan 2004","04 Feb 2004","11 Feb 2004","110803-100204 3.875%"
"SINGAPORE EXCHANGE LIMITED","DIVIDEND","30 Jan 2004","04 Feb 2004","16 Feb 2004","SGD 0.03 LESS TAX"
"CAPITALAND MALL TRUST","DIVIDEND","29 Jan 2004","03 Feb 2004","26 Feb 2004","260603 - 311203 SGD 0.0441 LESS TAX"
"CEREBOS PACIFIC LIMITED","DIVIDEND","29 Jan 2004","03 Feb 2004","18 Feb 2004","SGD 0.06 TAX EXEMPT"
"CEREBOS PACIFIC LIMITED","DIVIDEND","29 Jan 2004","03 Feb 2004","18 Feb 2004","SGD 0.1 TAX EXEMPT"
"EZRA HOLDINGS LIMITED","DIVIDEND","27 Jan 2004","29 Jan 2004","11 Feb 2004","4% TAX EXEMPT"
"GUOCOLAND LIMITED7%NCCPS040209","DIVIDEND","26 Jan 2004","28 Jan 2004","09 Feb 2004","090803-080204 SGD 0.07 LESS TAX"
"CENTRAL PROPERTIES LTD","ENTITL.","20 Jan 2004","28 Jan 2004","","VOL LIQ"
"SPDR DJIA ETF TRUST","DIVIDEND","19 Jan 2004","21 Jan 2004","17 Feb 2004","USD 0.06879 LESS TAX"
"JTC S$300M4.875%N090128","INTEREST","15 Jan 2004","19 Jan 2004","28 Jan 2004","280703 - 270104 4.875%"
"SEA VIEW HOTEL LTD","DIVIDEND","15 Jan 2004","19 Jan 2004","05 Feb 2004","SGD 4.7306 LESS TAX"
"BEYONICSTECHNOLOGY LIMITED","ENTITL.","14 Jan 2004","16 Jan 2004","","SHCONSO 2:5"
"ROLY INTERNATIONAL HLDGS LTD","DIVIDEND","07 Jan 2004","09 Jan 2004","20 Jan 2004","SGD 0.0056"
"ROLY INTERNATIONAL HLDGS LTD","DIVIDEND","07 Jan 2004","09 Jan 2004","20 Jan 2004","SGD 0.0074"
"DESIGN STUDIO GROUP LTD.","ENTITL.","06 Jan 2004","08 Jan 2004","","STOCK SPLIT OFFER OF 3 FOR 1"
"SINGAPORE POST LIMITED","DIVIDEND","06 Jan 2004","08 Jan 2004","19 Jan 2004","SGD 0.02105 NET OF TAX"
"GOODWOOD PARK HOTEL LTD","DIVIDEND","05 Jan 2004","07 Jan 2004","20 Jan 2004","SGD 0.3 LESS TAX"
"GOODWOOD PARK HOTEL LTD","DIVIDEND","05 Jan 2004","07 Jan 2004","20 Jan 2004","SGD 0.6 LESS TAX"
"NOEL GIFTS INTERNATIONAL LTD","DIVIDEND","02 Jan 2004","06 Jan 2004","16 Jan 2004","5% LESS TAX"
"MENTOR MEDIA LTD","DIVIDEND","31 Dec 2003","05 Jan 2004","19 Jan 2004","SGD 0.05 LESS TAX"
"NEXT-GEN SATELLITE COMM LTD","RIGHTS","31 Dec 2003","05 Jan 2004","","OFFER OF 2 FOR 7 @ SGD 0.06"
"POPULAR HOLDINGS LIMITED","DIVIDEND","31 Dec 2003","05 Jan 2004","19 Jan 2004","SGD 0.007 LESS TAX"
"AUSTRALAND PROPERTYGROUP","DIVIDEND","29 Dec 2003","31 Dec 2003","02 Feb 2004","DRP AUD 0.03"
"AUSTRALAND PROPERTYGROUP","DIVIDEND","29 Dec 2003","31 Dec 2003","02 Feb 2004","DRP AUD 0.0136"
"HUPSTEEL LTD","DIVIDEND","24 Dec 2003","29 Dec 2003","08 Jan 2004","5% LESS TAX"
"BEYONICSTECHNOLOGY LIMITED","DIVIDEND","23 Dec 2003","26 Dec 2003","08 Jan 2004","4% LESS TAX"
"TIME WATCH INVESTMENTS LIMITED","RIGHTS","23 Dec 2003","26 Dec 2003","","OFFER OF 2 FOR 1 @ $0.005"
"WING TAI HLDGS LTD","DIVIDEND","23 Dec 2003","26 Dec 2003","09 Jan 2004","4% LESS TAX"
"ISHARES MSCI SINGAPORE EWS 100","DIVIDEND","22 Dec 2003","24 Dec 2003","02 Jan 2004","USD 0.118758 LESS TAX"
"SPDR DJIA ETF TRUST","DIVIDEND","19 Dec 2003","23 Dec 2003","12 Jan 2004","USD 0.14666 LESS TAX"
"SPDR S&P 500 ETF TRUST","DIVIDEND","19 Dec 2003","23 Dec 2003","30 Jan 2004","USD 0.51559 LESS TAX"
"IDT HOLDINGS (SINGAPORE) LTD","DIVIDEND","18 Dec 2003","22 Dec 2003","09 Jan 2004","SGD 0.03"
"KODA LTD","DIVIDEND","18 Dec 2003","22 Dec 2003","07 Jan 2004","SGD 0.005 LESS TAX"
"SHC CAPITAL ASIA LIMITED","RIGHTS","18 Dec 2003","22 Dec 2003","","OFFER OF 2 FOR 1 @ SGD 0.1"
